"Labour force characteristics by province, monthly, seasonally adjusted" 1 2 3
"Monthly"
"Table: 14-10-0287-03 (formerly CANSIM 282-0087)"
"Geography: Canada, Province or territory"

"Sex","Age group","Statistics","Data type","Geography 4","Labour force characteristics","October 2019","September 2020","October 2020","October 2019 to October 2020","September 2020 to October 2020","September 2020 to October 2020","October 2019 to October 2020"
,,,,,"Participation rate 6","65.6","63.4","64.6","-1.0","1.2","...","..."
,,,,"New Brunswick","Unemployment rate 5","9.5","13.4","12.6","3.1","-0.8","...","..."
,,,,,"Participation rate 6","64.5","66.1","65.9","1.4","-0.2","...","..."
,,,,"Quebec","Unemployment rate 5","5.5","7.5","8.3","2.8","0.8","...","..."
,,,,,"Participation rate 6","68.8","68.9","69.1","0.3","0.2","...","..."
,,,,"Ontario","Unemployment rate 5","5.4","9.7","9.0","3.6","-0.7","...","..."
,,,,,"Participation rate 6","69.4","69.8","69.5","0.1","-0.3","...","..."
,,,,"Manitoba","Unemployment rate 5","5.6","7.2","7.3","1.7","0.1","...","..."
,,,,,"Participation rate 6","71.5","71.9","72.1","0.6","0.2","...","..."
,,,,"Saskatchewan","Unemployment rate 5","5.4","7.3","7.7","2.3","0.4","...","..."
,,,,,"Participation rate 6","73.9","72.5","73.0","-0.9","0.5","...","..."
,,,,"Alberta","Unemployment rate 5","7.4","12.9","11.7","4.3","-1.2","...","..."
,,,,,"Participation rate 6","76.6","75.5","75.7","-0.9","0.2","...","..."
,,,,"British Columbia","Unemployment rate 5","5.1","9.0","9.1","4.0","0.1","...","..."
,,,,,"Participation rate 6","69.4","67.0","68.3","-1.1","1.3","...","..."
"Females","15 years and over","Estimate","Seasonally adjusted","Canada","Unemployment rate 5","5.2","8.5","8.5","3.3","0.0","...","..."
,,,,,"Participation rate 6","61.4","60.5","60.7","-0.7","0.2","...","..."
,,,,"Newfoundland and Labrador","Unemployment rate 5","10.1","10.4","8.7","-1.4","-1.7","...","..."
,,,,,"Participation rate 6","54.5","53.8","54.5","0.0","0.7","...","..."
,,,,"Prince Edward Island","Unemployment rate 5","6.1","9.0","10.0","3.9","1.0","...","..."
,,,,,"Participation rate 6","62.3","59.7","59.8","-2.5","0.1","...","..."
,,,,"Nova Scotia","Unemployment rate 5","6.9","7.3","7.1","0.2","-0.2","...","..."
,,,,,"Participation rate 6","60.0","57.6","58.3","-1.7","0.7","...","..."
,,,,"New Brunswick","Unemployment rate 5","6.5","7.0","7.3","0.8","0.3","...","..."
,,,,,"Participation rate 6","57.5","56.7","57.3","-0.2","0.6","...","..."
,,,,"Quebec","Unemployment rate 5","4.5","7.3","6.9","2.4","-0.4","...","..."
,,,,,"Participation rate 6","61.3","60.5","60.2","-1.1","-0.3","...","..."
,,,,"Ontario","Unemployment rate 5","5.2","9.2","10.2","5.0","1.0","...","..."
,,,,,"Participation rate 6","60.8","59.8","60.6","-0.2","0.8","...","..."
,,,,"Manitoba","Unemployment rate 5","4.9","6.8","6.9","2.0","0.1","...","..."
,,,,,"Participation rate 6","61.0","62.1","61.6","0.6","-0.5","...","..."
,,,,"Saskatchewan","Unemployment rate 5","4.9","6.2","4.8","-0.1","-1.4","...","..."
,,,,,"Participation rate 6","63.7","63.0","61.4","-2.3","-1.6","...","..."
,,,,"Alberta","Unemployment rate 5","6.0","10.4","9.5","3.5","-0.9","...","..."
,,,,,"Participation rate 6","65.7","63.9","63.4","-2.3","-0.5","...","..."
,,,,"British Columbia","Unemployment rate 5","4.4","7.7","6.8","2.4","-0.9","...","..."
,,,,,"Participation rate 6","61.3","60.5","60.4","-0.9","-0.1","...","..."

Symbol legend:
...,not applicable,

Footnotes:
1,"Fluctuations in economic time series are caused by seasonal, cyclical and irregular movements. A seasonally adjusted series is one from which seasonal movements have been eliminated. Seasonal movements are defined as those which are caused by regular annual events such as climate, holidays, vacation periods and cycles related to crops, production and retail sales associated with Christmas and Easter. It should be noted that the seasonally adjusted series contain irregular as well as longer-term cyclical fluctuations. The seasonal adjustment program is a complicated computer program which differentiates between these seasonal, cyclical and irregular movements in a series over a number of years and, on the basis of past movements, estimates appropriate seasonal factors for current data. On an annual basis, the historic series of seasonally adjusted data are revised in light of the most recent information on changes in seasonality."
2,"To ensure respondent confidentiality, estimates below a certain threshold are suppressed. For Canada, Quebec, Ontario, Alberta and British Columbia suppression is applied to all data below 1,500. The threshold level for Newfoundland and Labrador, Nova Scotia, New Brunswick, Manitoba and Saskatchewan is 500, while in Prince Edward Island, estimates under 200 are supressed. For census metropolitan areas (CMAs) and economic regions (ERs), use their respective provincial suppression levels mentioned above. Estimates are based on smaller sample sizes the more detailed the table becomes, which could result in lower data quality."
3,For more information on seasonal adjustment see Seasonally adjusted data - Frequently asked questions.
4,Excluding the territories.
5,"The unemployment rate is the number of unemployed persons expressed as a percentage of the labour force. The unemployment rate for a particular group (age, sex, marital status, etc.) is the number unemployed in that group expressed as a percentage of the labour force for that group. Estimates are percentages, rounded to the nearest tenth."
6,"The participation rate is the number of labour force participants expressed as a percentage of the population 15 years of age and over. The participation rate for a particular group (age, sex, marital status, etc.) is the number of labour force participants in that group expressed as a percentage of the population for that group. Estimates are percentages, rounded to the nearest tenth."

"How to cite: Statistics Canada. Table 14-10-0287-03 Labour force characteristics by province, monthly, seasonally adjusted"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1410028703
DOI: https://doi.org/10.25318/1410028701-eng
