DIM: Sex (3),DIM: Dwelling type (5),Dim: Age (20): Member ID: [1]: Total - Age,Dim: Age (20): Member ID: [2]: 0 to 14 years,Dim: Age (20): Member ID: [3]: 15 to 19 years,Dim: Age (20): Member ID: [6]: 20 to 24 years,% 0 to 14 in house,% 15 to 19 in house,% 20 to 24 in house
Male,Single-detached houses,22980,4210,1445,1170,0.588811189,0.625541126,0.49787234
Female,Single-detached houses,22270,3985,1295,1060,0.585598824,0.606557377,0.46799117
Total - Sex,Single-detached houses,26210,4500,1585,1370,0.51340559,0.511290323,0.367785235
Male,Single-detached houses,13160,2310,765,710,0.517357223,0.501639344,0.39010989
Female,Single-detached houses,13050,2185,820,660,0.507549361,0.522292994,0.346456693
Total - Sex,Single-detached houses,25830,3680,1230,1135,0.709055877,0.696883853,0.582051282
Male,Single-detached houses,13160,1915,615,595,0.709259259,0.710982659,0.589108911
Female,Single-detached houses,12670,1765,620,535,0.708835341,0.69273743,0.566137566
Total - Sex,Single-detached houses,26110,4330,1465,1300,0.616370107,0.600409836,0.470162749
Male,Single-detached houses,12935,2150,750,695,0.610795455,0.602409639,0.501805054
Female,Single-detached houses,13180,2180,715,605,0.621968616,0.595833333,0.44
Total - Sex,Single-detached houses,1615720,308195,111145,101095,0.445877519,0.493287176,0.372172216
Male,Single-detached houses,810545,157625,57300,52745,0.446289533,0.500349284,0.386339498
Female,Single-detached houses,805175,150570,53845,48355,0.445440426,0.485943775,0.357893568
Total - Sex,Single-detached houses,21350,3225,1135,1145,0.584768812,0.577608142,0.462626263
Male,Single-detached houses,10700,1685,580,585,0.587108014,0.582914573,0.464285714
Female,Single-detached houses,10650,1540,555,555,0.583333333,0.572164948,0.456790123
Total - Sex,Single-detached houses,7080,1010,375,335,0.565826331,0.576923077,0.489051095
Male,Single-detached houses,3585,555,180,195,0.578125,0.553846154,0.52
Female,Single-detached houses,3495,455,195,135,0.551515152,0.609375,0.435483871
Total - Sex,Single-detached houses,20345,4115,1320,1050,0.686405338,0.696569921,0.508474576
Male,Single-detached houses,10515,2140,715,545,0.68921095,0.715,0.514150943
Female,Single-detached houses,9830,1975,605,500,0.682210708,0.672222222,0.495049505
Total - Sex,Single-detached houses,25685,4890,1625,1270,0.694109297,0.671487603,0.464351005
Male,Single-detached houses,13155,2515,800,640,0.69571231,0.658436214,0.465454545
Female,Single-detached houses,12530,2380,830,630,0.69286754,0.685950413,0.463235294
Total - Sex,Single-detached houses,8009260,1381935,529505,497765,0.626191156,0.652521643,0.556566221
Male,Single-detached houses,3988395,709465,272955,260880,0.627256733,0.655149653,0.569862056
Female,Single-detached houses,4020865,672470,256550,236885,0.625070876,0.649748636,0.54262971
Total - Sex,Single-detached houses,36540,5460,2085,1985,0.586466165,0.658767773,0.55758427
Male,Single-detached houses,18180,2815,1095,1075,0.591386555,0.669724771,0.590659341
Female,Single-detached houses,18365,2645,985,910,0.58004386,0.64379085,0.524495677
Total - Sex,Single-detached houses,5105,710,245,240,0.445141066,0.4375,0.393442623
Male,Single-detached houses,2530,365,130,120,0.459119497,0.448275862,0.387096774
Female,Single-detached houses,2570,340,110,120,0.433121019,0.4,0.4
Total - Sex,Single-detached houses,995,180,50,60,0.6,0.526315789,0.571428571
Male,Single-detached houses,495,90,20,30,0.6,0.5,0.6
Female,Single-detached houses,500,90,30,25,0.580645161,0.545454545,0.454545455
Total - Sex,Single-detached houses,4110,530,195,180,0.410852713,0.419354839,0.356435644
Male,Single-detached houses,2040,280,115,90,0.430769231,0.469387755,0.352941176
Female,Single-detached houses,2070,250,80,95,0.390625,0.355555556,0.38
Total - Sex,Single-detached houses,681355,127030,46885,40565,0.55945565,0.58956303,0.437854175
Male,Single-detached houses,340385,64785,23830,21290,0.559963698,0.590875279,0.455791051
Female,Single-detached houses,340965,62250,23060,19275,0.558972747,0.58834035,0.419569003
Total - Sex,Single-detached houses,172990,32895,10820,9490,0.537368292,0.577066667,0.452875209
Male,Single-detached houses,87225,16865,5530,4980,0.538301947,0.581799053,0.474964235
Female,Single-detached houses,85760,16025,5295,4515,0.536132486,0.572742023,0.430820611
Total - Sex,Single-detached houses,508365,94140,36060,31075,0.567621345,0.593336076,0.433463524
Male,Single-detached houses,253160,47915,18300,16310,0.567915136,0.593770279,0.450241546
Female,Single-detached houses,255205,46220,17760,14765,0.56729058,0.592889334,0.416325955
Total - Sex,Single-detached houses,11950,1830,670,620,0.7593361,0.832298137,0.765432099
Male,Single-detached houses,6010,965,340,335,0.756862745,0.829268293,0.797619048
Female,Single-detached houses,5940,870,335,285,0.766519824,0.848101266,0.75
Total - Sex,Single-detached houses,24795,4260,1490,1225,0.812202097,0.832402235,0.790322581
Male,Single-detached houses,12405,2185,775,670,0.81988743,0.833333333,0.80239521
Female,Single-detached houses,12395,2075,710,555,0.804263566,0.820809249,0.776223776
Total - Sex,Single-detached houses,27725,3910,1755,1405,0.759961127,0.790540541,0.672248804
Male,Single-detached houses,13590,1980,880,720,0.760076775,0.789237668,0.688995215
Female,Single-detached houses,14140,1930,875,680,0.761341223,0.788288288,0.647619048
Total - Sex,Single-detached houses,17630,2840,1000,935,0.816091954,0.816326531,0.684981685
Male,Single-detached houses,8770,1475,525,475,0.830985915,0.853658537,0.698529412
Female,Single-detached houses,8860,1365,475,460,0.80058651,0.798319328,0.666666667
Total - Sex,Single-detached houses,11930,2685,650,585,0.702879581,0.734463277,0.410526316
Male,Single-detached houses,6135,1420,335,315,0.715365239,0.705263158,0.348066298
Female,Single-detached houses,5795,1260,310,265,0.686648501,0.775,0.514563107
Total - Sex,Single-detached houses,101655,16415,6350,5580,0.686820084,0.709893795,0.492280547
Male,Single-detached houses,50190,8410,3295,2955,0.685970636,0.727373068,0.524866785
Female,Single-detached houses,51465,8010,3055,2625,0.687848862,0.69195923,0.45971979
Total - Sex,Single-detached houses,75915,12395,4625,4025,0.754872107,0.790598291,0.656606852
Male,Single-detached houses,37665,6300,2385,2105,0.753588517,0.788429752,0.666139241
Female,Single-detached houses,38255,6095,2240,1915,0.756203474,0.792920354,0.644781145
Total - Sex,Single-detached houses,12295,1700,700,580,0.698151951,0.717948718,0.662857143
Male,Single-detached houses,5895,870,380,275,0.698795181,0.716981132,0.654761905
Female,Single-detached houses,6400,825,320,305,0.693277311,0.727272727,0.67032967
Total - Sex,Single-detached houses,12740,1685,700,695,0.771167048,0.809248555,0.776536313
Male,Single-detached houses,6275,830,370,365,0.76146789,0.787234043,0.760416667
Female,Single-detached houses,6460,860,325,330,0.792626728,0.82278481,0.785714286
Total - Sex,Single-detached houses,89790,14075,5225,5315,0.788294595,0.780433159,0.640361446
Male,Single-detached houses,44090,7150,2635,2715,0.787878788,0.783060921,0.663814181
Female,Single-detached houses,45700,6920,2585,2605,0.788154897,0.776276276,0.619500595
Total - Sex,Single-detached houses,64135,8710,3520,3295,0.879353862,0.892268695,0.837357052
Male,Single-detached houses,32125,4455,1825,1710,0.879565647,0.892420538,0.830097087
Female,Single-detached houses,32010,4260,1695,1585,0.881075491,0.887434555,0.845333333
Total - Sex,Single-detached houses,22060,4100,1495,1235,0.836734694,0.86167147,0.799352751
Male,Single-detached houses,11100,2145,790,640,0.837890625,0.863387978,0.795031056
Female,Single-detached houses,10965,1960,700,595,0.839400428,0.853658537,0.798657718
Total - Sex,Single-detached houses,269200,50815,18465,17460,0.733949592,0.751985339,0.702757094
Male,Single-detached houses,133965,26125,9330,9115,0.736122852,0.754549131,0.710721248
Female,Single-detached houses,135230,24685,9130,8340,0.731624185,0.749281904,0.693555094
Total - Sex,Single-detached houses,9620,1800,640,520,0.772532189,0.771084337,0.702702703
Male,Single-detached houses,4830,940,345,260,0.770491803,0.766666667,0.702702703
Female,Single-detached houses,4790,855,295,265,0.77027027,0.776315789,0.716216216
Total - Sex,Single-detached houses,2776675,490065,195305,191050,0.497543072,0.533008569,0.463814911
Male,Single-detached houses,1375685,251965,100925,100080,0.498585167,0.53475865,0.475597586
Female,Single-detached houses,1400985,238105,94380,90970,0.496455453,0.531149755,0.451508835
Total - Sex,Single-detached houses,471315,81760,31185,30690,0.667510307,0.702048627,0.634681005
Male,Single-detached houses,235110,42230,16215,16175,0.66936123,0.708233239,0.649467978
Female,Single-detached houses,236205,39525,14975,14515,0.665348035,0.695702671,0.618976546
Total - Sex,Single-detached houses,287610,43445,17390,17235,0.735109983,0.751674951,0.669320388
Male,Single-detached houses,142545,22290,8870,8885,0.736737729,0.752651676,0.686630603
Female,Single-detached houses,145070,21165,8515,8345,0.73374935,0.750220264,0.651444184
Total - Sex,Single-detached houses,323230,60800,22080,20575,0.658329273,0.675952855,0.527902502
Male,Single-detached houses,161755,31025,11350,10895,0.65737896,0.678219301,0.53617126
Female,Single-detached houses,161470,29780,10730,9680,0.659433127,0.673571877,0.518756699
Total - Sex,Single-detached houses,96360,17560,6210,5570,0.744383213,0.76056338,0.697994987
Male,Single-detached houses,47975,9070,3240,2845,0.755203997,0.771428571,0.713032581
Female,Single-detached houses,48385,8490,2970,2725,0.732528041,0.749054224,0.684673367
Total - Sex,Single-detached houses,26075,4790,1635,1385,0.700804682,0.709327549,0.596982759
Male,Single-detached houses,13025,2440,845,725,0.707246377,0.713080169,0.617021277
Female,Single-detached houses,13055,2350,785,665,0.694239291,0.694690265,0.583333333
Total - Sex,Single-detached houses,11510,1730,615,510,0.737739872,0.76875,0.625766871
Male,Single-detached houses,5530,870,320,255,0.731092437,0.780487805,0.62962963
Female,Single-detached houses,5980,860,295,260,0.744588745,0.756410256,0.634146341
Total - Sex,Single-detached houses,54665,8715,3300,2950,0.897066392,0.906593407,0.832157969
Male,Single-detached houses,27375,4495,1625,1540,0.893638171,0.912921348,0.843835616
Female,Single-detached houses,27290,4215,1675,1415,0.897763578,0.90296496,0.820289855
Total - Sex,Single-detached houses,94430,17025,6550,6205,0.660267597,0.694223635,0.550088652
Male,Single-detached houses,47030,8775,3305,3295,0.661266014,0.695057834,0.581128748
Female,Single-detached houses,47400,8255,3245,2910,0.659872102,0.693376068,0.519179304
Total - Sex,Single-detached houses,18730,2940,1175,995,0.626865672,0.652777778,0.551246537
Male,Single-detached houses,9270,1520,615,535,0.617886179,0.661290323,0.584699454
Female,Single-detached houses,9465,1425,565,465,0.639013453,0.649425287,0.519553073
Total - Sex,Single-detached houses,311035,54940,20405,19045,0.67664265,0.693457944,0.525089606
Male,Single-detached houses,154340,28085,10480,10055,0.676502469,0.7000668,0.546170559
Female,Single-detached houses,156695,26855,9925,8990,0.676789315,0.686851211,0.503218584
Total - Sex,Single-detached houses,81715,13775,5175,4175,0.822879331,0.84627964,0.754290876
Male,Single-detached houses,40575,7090,2615,2110,0.825378347,0.849025974,0.765880218
Female,Single-detached houses,41145,6685,2560,2070,0.821253071,0.843492586,0.745945946
Total - Sex,Single-detached houses,36665,7120,2460,2175,0.822645869,0.826890756,0.736040609
Male,Single-detached houses,18555,3760,1315,1125,0.822757112,0.848387097,0.740131579
Female,Single-detached houses,18110,3355,1145,1045,0.822303922,0.800699301,0.728222997
Total - Sex,Single-detached houses,246025,43050,16895,16395,0.782940802,0.805290753,0.714534757
Male,Single-detached houses,122760,22055,8770,8645,0.783759773,0.808667589,0.724947589
Female,Single-detached houses,123265,20990,8125,7755,0.78189607,0.80207305,0.704039946
Total - Sex,Single-detached houses,74075,11780,4220,4100,0.800271739,0.807655502,0.699658703
Male,Single-detached houses,36735,5955,2190,2120,0.803643725,0.820224719,0.695081967
Female,Single-detached houses,37335,5830,2035,1980,0.798083504,0.794921875,0.703374778
Total - Sex,Single-detached houses,17545,2170,775,740,0.882113821,0.890804598,0.850574713
Male,Single-detached houses,8635,1105,430,410,0.884,0.905263158,0.88172043
Female,Single-detached houses,8910,1060,345,330,0.87966805,0.851851852,0.814814815
Total - Sex,Single-detached houses,22065,3305,1305,1150,0.728776185,0.769911504,0.646067416
Male,Single-detached houses,10915,1725,685,590,0.745140389,0.782857143,0.659217877
Female,Single-detached houses,11145,1585,620,565,0.713963964,0.751515152,0.634831461
Total - Sex,Single-detached houses,13705,2250,720,665,0.717703349,0.712871287,0.612903226
Male,Single-detached houses,6600,1115,375,335,0.721682848,0.700934579,0.632075472
Female,Single-detached houses,7100,1135,345,340,0.716088328,0.734042553,0.612612613
Total - Sex,Single-detached houses,145890,27085,10470,9590,0.768041968,0.795895097,0.722138554
Male,Single-detached houses,72880,13875,5340,5125,0.768485184,0.8005997,0.73953824
Female,Single-detached houses,73005,13210,5130,4460,0.76757699,0.791056284,0.701809599
Total - Sex,Single-detached houses,18470,2620,1045,1145,0.595454545,0.659305994,0.578282828
Male,Single-detached houses,8980,1335,530,605,0.593333333,0.6625,0.626943005
Female,Single-detached houses,9490,1280,515,540,0.595348837,0.651898734,0.532019704
Total - Sex,Single-detached houses,27090,3790,1515,1400,0.792887029,0.818918919,0.74270557
Male,Single-detached houses,13415,1985,805,705,0.789264414,0.829896907,0.730569948
Female,Single-detached houses,13670,1805,715,690,0.795154185,0.817142857,0.75
Total - Sex,Single-detached houses,45285,6925,2640,2310,0.659838018,0.674329502,0.534104046
Male,Single-detached houses,22490,3475,1335,1170,0.655660377,0.6675,0.545454545
Female,Single-detached houses,22795,3455,1305,1145,0.665703276,0.6796875,0.525229358
Total - Sex,Single-detached houses,112405,18345,7000,6305,0.717442315,0.740740741,0.596499527
Male,Single-detached houses,56375,9435,3615,3390,0.718583397,0.750778816,0.623161765
Female,Single-detached houses,56025,8910,3390,2920,0.716237942,0.732181425,0.5703125
Total - Sex,Single-detached houses,5595,665,240,180,0.599099099,0.648648649,0.467532468
Male,Single-detached houses,2720,335,120,95,0.609090909,0.6,0.487179487
Female,Single-detached houses,2870,330,125,90,0.589285714,0.735294118,0.486486486
Total - Sex,Single-detached houses,29515,5175,1915,1660,0.725806452,0.74368932,0.656126482
Male,Single-detached houses,14910,2660,995,850,0.732782369,0.734317343,0.669291339
Female,Single-detached houses,14605,2520,920,810,0.722063037,0.751020408,0.642857143
Total - Sex,Single-detached houses,56305,8475,3155,3125,0.75,0.765776699,0.65376569
Male,Single-detached houses,28020,4365,1665,1655,0.747431507,0.763761468,0.67413442
Female,Single-detached houses,28290,4105,1485,1470,0.751831502,0.763496144,0.63362069
Total - Sex,Single-detached houses,89210,13435,5280,5540,0.756901408,0.790419162,0.671515152
Male,Single-detached houses,44445,6940,2690,2890,0.75971538,0.790014684,0.682408501
Female,Single-detached houses,44765,6490,2600,2645,0.753337203,0.795107034,0.659600998
Total - Sex,Single-detached houses,12090,2005,680,720,0.826804124,0.834355828,0.782608696
Male,Single-detached houses,6010,1000,365,375,0.826446281,0.848837209,0.79787234
Female,Single-detached houses,6080,1005,315,350,0.827160494,0.807692308,0.769230769
Total - Sex,Single-detached houses,927135,184870,65155,59630,0.758316584,0.7903803,0.687298294
Male,Single-detached houses,466555,94940,33810,31150,0.75891287,0.794594595,0.700550995
Female,Single-detached houses,460575,89930,31350,28475,0.757656178,0.786108325,0.673247429
Total - Sex,Single-detached houses,533630,95140,36635,36075,0.716415663,0.758802817,0.654896977
Male,Single-detached houses,267330,48940,19075,18900,0.717647921,0.763610889,0.670807453
Female,Single-detached houses,266300,46205,17560,17180,0.715247678,0.753648069,0.638543022
Total - Sex,Single-detached houses,24070,6505,2130,1635,0.844256976,0.880165289,0.725055432
Male,Single-detached houses,12140,3310,1110,865,0.835858586,0.888,0.762114537
Female,Single-detached houses,11930,3190,1020,775,0.851802403,0.868085106,0.691964286
Total - Sex,Single-detached houses,10190,2550,715,680,0.73699422,0.733333333,0.552845528
Male,Single-detached houses,5025,1315,350,335,0.745042493,0.752688172,0.544715447
Female,Single-detached houses,5165,1240,360,340,0.733727811,0.699029126,0.552845528
Total - Sex,Single-detached houses,9715,1920,595,575,0.737044146,0.71686747,0.714285714
Male,Single-detached houses,4760,980,310,305,0.750957854,0.688888889,0.743902439
Female,Single-detached houses,4955,940,285,270,0.725868726,0.76,0.675
Total - Sex,Single-detached houses,35380,7085,2305,2045,0.62866016,0.671033479,0.484023669
Male,Single-detached houses,17695,3665,1150,1030,0.63244176,0.67251462,0.495192308
Female,Single-detached houses,17680,3420,1160,1020,0.623518687,0.670520231,0.475524476
Total - Sex,Single-detached houses,7060,1755,580,430,0.502145923,0.597938144,0.445595855
Male,Single-detached houses,3600,910,285,215,0.521489971,0.6,0.447916667
